language,avg_vote
ar,6.2204999999999995
bn,5.578666666666667
bo,7.583
ca,3.6
cn,6.258136363636364
cs,5.8975
da,6.758333333333334
de,6.532883333333333
el,5.884
en,6.389332307135096
es,6.423124183006537
et,7.9
eu,6.32
fa,6.0872
fi,6.526777777777777
fr,6.605384976525822
ga,7.3405000000000005
he,5.2443333333333335
hi,6.137367875647668
ho,5.0
hu,7.489
id,5.900404761904762
it,6.269550847457627
ja,6.679663484486873
km,6.587
kn,5.0646
ko,6.175108187134503
lt,5.212
lv,7.7425
ml,5.641117647058824
mn,6.7026666666666666
mr,4.8999999999999995
ms,5.2
nl,6.266818181818182
no,6.235666666666667
pa,7.7
pl,6.159166666666667
pt,6.737041666666666
ru,6.427311111111111
sh,6.8
si,7.85
sk,5.9
sr,6.841
sv,6.500374999999999
ta,6.114285714285714
te,5.972823529411764
th,6.857692307692308
tl,4.74936
tr,6.039466666666667
tt,6.502
uk,5.590999999999999
ur,7.31
vi,7.3
xx,3.131
zh,6.291567567567568
zu,6.545
