release_year,movie_count
2024.0,715
2023.0,485
2022.0,420
2025.0,402
2021.0,369
2018.0,325
2019.0,293
2020.0,281
2017.0,274
2016.0,265
2014.0,233
2015.0,226
2013.0,200
2010.0,194
2011.0,186
2012.0,181
2009.0,178
2006.0,169
2007.0,167
2008.0,156
2004.0,152
2005.0,149
2003.0,129
2001.0,122
1998.0,120
1995.0,114
1997.0,109
2000.0,109
1999.0,107
2002.0,105
1993.0,103
1994.0,93
1996.0,86
1992.0,78
1991.0,70
1985.0,70
1989.0,67
1990.0,60
1987.0,58
1988.0,56
1984.0,54
1986.0,49
1983.0,40
1978.0,38
1982.0,37
1981.0,37
1980.0,31
1973.0,29
1977.0,29
1979.0,27
1975.0,24
1974.0,23
1976.0,23
1971.0,21
1964.0,17
1963.0,15
1972.0,14
1962.0,14
1966.0,14
1968.0,13
1954.0,12
1965.0,12
1967.0,12
1959.0,11
1969.0,10
1953.0,10
1961.0,10
1970.0,10
1960.0,9
1955.0,9
1957.0,7
1956.0,6
1958.0,6
2026.0,6
1940.0,5
1948.0,5
1939.0,5
1951.0,5
2027.0,4
1950.0,4
1942.0,4
1944.0,4
1931.0,4
1933.0,3
1947.0,3
1949.0,3
1946.0,3
1952.0,3
1945.0,2
1930.0,2
1935.0,2
1936.0,2
1943.0,2
1941.0,2
1932.0,2
1928.0,2
1927.0,2
1938.0,2
1916.0,1
1922.0,1
1923.0,1
1921.0,1
1915.0,1
1929.0,1
1934.0,1
1920.0,1
1902.0,1
